mapping_id,degree_family,programme_name,stream_group,eligibility_status
MAP0140,Computer & IT Pathways,B.Sc Cybersecurity,PCM,GREEN
MAP0141,Computer & IT Pathways,B.Sc Cybersecurity,PCB,YELLOW
MAP0142,Computer & IT Pathways,B.Sc Cybersecurity,Commerce_Math,GREEN
MAP0143,Computer & IT Pathways,B.Sc Cybersecurity,Commerce_No_Math,YELLOW
MAP0144,Computer & IT Pathways,B.Sc Cybersecurity,Humanities_Math,YELLOW
MAP0145,Computer & IT Pathways,B.Sc Cybersecurity,Humanities_No_Math,YELLOW
MAP0146,Computer & IT Pathways,B.Tech AI/ML,PCM,GREEN
MAP0147,Computer & IT Pathways,B.Tech AI/ML,PCB,RED_YELLOW
MAP0148,Computer & IT Pathways,B.Tech AI/ML,Commerce_Math,RED_YELLOW
MAP0149,Computer & IT Pathways,B.Tech AI/ML,Commerce_No_Math,RED
MAP0150,Computer & IT Pathways,B.Tech AI/ML,Humanities_Math,RED
MAP0151,Computer & IT Pathways,B.Tech AI/ML,Humanities_No_Math,RED
MAP0152,Medical & Health Sciences,MBBS,PCM,RED
MAP0153,Medical & Health Sciences,MBBS,PCB,GREEN
MAP0154,Medical & Health Sciences,MBBS,PCMB,GREEN
MAP0155,Medical & Health Sciences,BDS,PCM,RED
MAP0156,Medical & Health Sciences,BDS,PCB,GREEN
MAP0157,Medical & Health Sciences,BDS,PCMB,GREEN
MAP0158,Medical & Health Sciences,BAMS,PCM,RED
MAP0159,Medical & Health Sciences,BAMS,PCB,GREEN
MAP0160,Medical & Health Sciences,BAMS,PCMB,GREEN
MAP0161,Medical & Health Sciences,BHMS,PCM,RED
MAP0162,Medical & Health Sciences,BHMS,PCB,GREEN
MAP0163,Medical & Health Sciences,BHMS,PCMB,GREEN
MAP0164,Medical & Health Sciences,BUMS,PCM,RED
MAP0165,Medical & Health Sciences,BUMS,PCB,GREEN
MAP0166,Medical & Health Sciences,BUMS,PCMB,GREEN
MAP0167,Medical & Health Sciences,BSMS,PCM,RED
MAP0168,Medical & Health Sciences,BSMS,PCB,GREEN
MAP0169,Medical & Health Sciences,BSMS,PCMB,GREEN
MAP0170,Medical & Health Sciences,Veterinary / BVSc,PCM,RED
MAP0171,Medical & Health Sciences,Veterinary / BVSc,PCB,GREEN
MAP0172,Medical & Health Sciences,Veterinary / BVSc,PCMB,GREEN
MAP0173,Medical & Health Sciences,B.Sc Nursing,PCM,RED_YELLOW
MAP0174,Medical & Health Sciences,B.Sc Nursing,PCB,GREEN
MAP0175,Medical & Health Sciences,B.Sc Nursing,PCMB,GREEN
MAP0176,Medical & Health Sciences,Physiotherapy,PCM,RED_YELLOW
MAP0177,Medical & Health Sciences,Physiotherapy,PCB,GREEN
MAP0178,Medical & Health Sciences,Physiotherapy,PCMB,GREEN
MAP0179,Medical & Health Sciences,Occupational Therapy,PCM,RED_YELLOW
MAP0180,Medical & Health Sciences,Occupational Therapy,PCB,GREEN
MAP0181,Medical & Health Sciences,Occupational Therapy,PCMB,GREEN
MAP0182,Medical & Health Sciences,Medical Laboratory Technology,PCM,YELLOW
MAP0183,Medical & Health Sciences,Medical Laboratory Technology,PCB,GREEN
MAP0184,Medical & Health Sciences,Medical Laboratory Technology,PCMB,GREEN
MAP0185,Medical & Health Sciences,Radiology / Imaging,PCM,YELLOW
MAP0186,Medical & Health Sciences,Radiology / Imaging,PCB,GREEN
MAP0187,Medical & Health Sciences,Radiology / Imaging,PCMB,GREEN
MAP0188,Medical & Health Sciences,Optometry,PCM,YELLOW
MAP0189,Medical & Health Sciences,Optometry,PCB,GREEN
MAP0190,Medical & Health Sciences,Optometry,PCMB,GREEN
MAP0191,Medical & Health Sciences,Pharmacy,PCM,YELLOW
MAP0192,Medical & Health Sciences,Pharmacy,PCB,GREEN
MAP0193,Medical & Health Sciences,Pharmacy,PCMB,GREEN
MAP0194,Medical & Health Sciences,Biotechnology,PCM,YELLOW
MAP0195,Medical & Health Sciences,Biotechnology,PCB,GREEN
MAP0196,Medical & Health Sciences,Biotechnology,PCMB,GREEN
MAP0197,Medical & Health Sciences,Microbiology,PCM,RED_YELLOW
MAP0198,Medical & Health Sciences,Microbiology,PCB,GREEN
MAP0199,Medical & Health Sciences,Microbiology,PCMB,GREEN
MAP0200,Medical & Health Sciences,Biochemistry,PCM,RED_YELLOW
MAP0201,Medical & Health Sciences,Biochemistry,PCB,GREEN
MAP0202,Medical & Health Sciences,Biochemistry,PCMB,GREEN
MAP0203,Medical & Health Sciences,Genetics,PCM,RED_YELLOW
MAP0204,Medical & Health Sciences,Genetics,PCB,GREEN
MAP0205,Medical & Health Sciences,Genetics,PCMB,GREEN
MAP0206,Pure Sciences,B.Sc Physics,PCM,GREEN
MAP0207,Pure Sciences,B.Sc Physics,PCB,RED_YELLOW
MAP0208,Pure Sciences,B.Sc Physics,PCMB,GREEN
MAP0209,Pure Sciences,B.Sc Physics,Commerce_Math,RED
MAP0210,Pure Sciences,B.Sc Physics,Humanities_Math,RED
MAP0211,Pure Sciences,B.Sc Mathematics,PCM,GREEN
MAP0212,Pure Sciences,B.Sc Mathematics,PCB,RED
MAP0213,Pure Sciences,B.Sc Mathematics,PCMB,GREEN
MAP0214,Pure Sciences,B.Sc Mathematics,Commerce_Math,YELLOW
MAP0215,Pure Sciences,B.Sc Mathematics,Humanities_Math,YELLOW
MAP0216,Pure Sciences,B.Sc Chemistry,PCM,GREEN
MAP0217,Pure Sciences,B.Sc Chemistry,PCB,GREEN
MAP0218,Pure Sciences,B.Sc Chemistry,PCMB,GREEN
MAP0219,Pure Sciences,B.Sc Chemistry,Commerce_Math,RED
MAP0220,Pure Sciences,B.Sc Chemistry,Humanities_Math,RED
MAP0221,Pure Sciences,B.Sc Statistics,PCM,GREEN
MAP0222,Pure Sciences,B.Sc Statistics,PCB,YELLOW
MAP0223,Pure Sciences,B.Sc Statistics,PCMB,GREEN
MAP0224,Pure Sciences,B.Sc Statistics,Commerce_Math,GREEN
MAP0225,Pure Sciences,B.Sc Statistics,Humanities_Math,YELLOW
MAP0226,Pure Sciences,B.Sc Computer Science,PCM,GREEN
MAP0227,Pure Sciences,B.Sc Computer Science,PCB,YELLOW
MAP0228,Pure Sciences,B.Sc Computer Science,PCMB,GREEN
MAP0229,Pure Sciences,B.Sc Computer Science,Commerce_Math,YELLOW
MAP0230,Pure Sciences,B.Sc Computer Science,Humanities_Math,YELLOW
MAP0231,Pure Sciences,B.Sc Data Science,PCM,GREEN
MAP0232,Pure Sciences,B.Sc Data Science,PCB,YELLOW
MAP0233,Pure Sciences,B.Sc Data Science,PCMB,GREEN
MAP0234,Pure Sciences,B.Sc Data Science,Commerce_Math,GREEN
MAP0235,Pure Sciences,B.Sc Data Science,Humanities_Math,YELLOW
MAP0236,Pure Sciences,B.Sc Economics,PCM,GREEN
MAP0237,Pure Sciences,B.Sc Economics,PCB,YELLOW
MAP0238,Pure Sciences,B.Sc Economics,PCMB,GREEN
MAP0239,Pure Sciences,B.Sc Economics,Commerce_Math,GREEN
MAP0240,Pure Sciences,B.Sc Economics,Humanities_Math,GREEN
MAP0241,Pure Sciences,B.Sc Psychology,PCM,GREEN
MAP0242,Pure Sciences,B.Sc Psychology,PCB,GREEN
MAP0243,Pure Sciences,B.Sc Psychology,PCMB,GREEN
MAP0244,Pure Sciences,B.Sc Psychology,Commerce_Math,GREEN
MAP0245,Pure Sciences,B.Sc Psychology,Humanities_Math,GREEN
MAP0246,Pure Sciences,B.Sc Geology,PCM,GREEN
MAP0247,Pure Sciences,B.Sc Geology,PCB,GREEN_YELLOW
MAP0248,Pure Sciences,B.Sc Geology,PCMB,GREEN
MAP0249,Pure Sciences,B.Sc Geology,Commerce_Math,RED
MAP0250,Pure Sciences,B.Sc Geology,Humanities_Math,RED
MAP0251,Pure Sciences,B.Sc Environmental Science,PCM,GREEN
MAP0252,Pure Sciences,B.Sc Environmental Science,PCB,GREEN
MAP0253,Pure Sciences,B.Sc Environmental Science,PCMB,GREEN
MAP0254,Pure Sciences,B.Sc Environmental Science,Commerce_Math,YELLOW
MAP0255,Pure Sciences,B.Sc Environmental Science,Humanities_Math,YELLOW
MAP0256,Pure Sciences,B.Sc Biotechnology,PCM,YELLOW
MAP0257,Pure Sciences,B.Sc Biotechnology,PCB,GREEN
MAP0258,Pure Sciences,B.Sc Biotechnology,PCMB,GREEN
MAP0259,Pure Sciences,B.Sc Biotechnology,Commerce_Math,RED
MAP0260,Pure Sciences,B.Sc Biotechnology,Humanities_Math,RED
MAP0261,Agriculture & Allied Sciences,B.Sc Agriculture,PCM,GREEN
MAP0262,Agriculture & Allied Sciences,B.Sc Agriculture,PCB,GREEN
MAP0263,Agriculture & Allied Sciences,B.Sc Agriculture,PCMB,GREEN
MAP0264,Agriculture & Allied Sciences,B.Sc Horticulture,PCM,GREEN
MAP0265,Agriculture & Allied Sciences,B.Sc Horticulture,PCB,GREEN
MAP0266,Agriculture & Allied Sciences,B.Sc Horticulture,PCMB,GREEN
MAP0267,Agriculture & Allied Sciences,B.Sc Forestry,PCM,GREEN
MAP0268,Agriculture & Allied Sciences,B.Sc Forestry,PCB,GREEN
MAP0269,Agriculture & Allied Sciences,B.Sc Forestry,PCMB,GREEN
MAP0270,Agriculture & Allied Sciences,B.F.Sc Fisheries,PCM,GREEN
MAP0271,Agriculture & Allied Sciences,B.F.Sc Fisheries,PCB,GREEN
MAP0272,Agriculture & Allied Sciences,B.F.Sc Fisheries,PCMB,GREEN
MAP0273,Agriculture & Allied Sciences,B.Tech Agricultural Engineering,PCM,GREEN
MAP0274,Agriculture & Allied Sciences,B.Tech Agricultural Engineering,PCB,YELLOW
MAP0275,Agriculture & Allied Sciences,B.Tech Agricultural Engineering,PCMB,GREEN
MAP0276,Agriculture & Allied Sciences,B.Tech Food Technology,PCM,GREEN
MAP0277,Agriculture & Allied Sciences,B.Tech Food Technology,PCB,GREEN
MAP0278,Agriculture & Allied Sciences,B.Tech Food Technology,PCMB,GREEN
MAP0279,Agriculture & Allied Sciences,B.Tech Dairy Technology,PCM,GREEN
MAP0280,Agriculture & Allied Sciences,B.Tech Dairy Technology,PCB,GREEN
MAP0281,Agriculture & Allied Sciences,B.Tech Dairy Technology,PCMB,GREEN
MAP0282,Agriculture & Allied Sciences,B.Sc Agribusiness,PCM,GREEN
MAP0283,Agriculture & Allied Sciences,B.Sc Agribusiness,PCB,GREEN
MAP0284,Agriculture & Allied Sciences,B.Sc Agribusiness,PCMB,GREEN
MAP0285,Agriculture & Allied Sciences,B.Sc Food Nutrition & Dietetics,PCM,GREEN
MAP0286,Agriculture & Allied Sciences,B.Sc Food Nutrition & Dietetics,PCB,GREEN
MAP0287,Agriculture & Allied Sciences,B.Sc Food Nutrition & Dietetics,PCMB,GREEN
MAP0288,Agriculture & Allied Sciences,B.Tech Biotechnology,PCM,GREEN
MAP0289,Agriculture & Allied Sciences,B.Tech Biotechnology,PCB,GREEN
MAP0290,Agriculture & Allied Sciences,B.Tech Biotechnology,PCMB,GREEN
MAP0291,Commerce & Management,B.Com,PCM,GREEN
MAP0292,Commerce & Management,B.Com,PCB,GREEN
MAP0293,Commerce & Management,B.Com,PCMB,GREEN
MAP0294,Commerce & Management,B.Com,Commerce,GREEN
MAP0295,Commerce & Management,B.Com,Humanities,GREEN
MAP0296,Commerce & Management,B.Com Hons,PCM,GREEN_YELLOW
MAP0297,Commerce & Management,B.Com Hons,PCB,YELLOW
MAP0298,Commerce & Management,B.Com Hons,PCMB,GREEN
MAP0299,Commerce & Management,B.Com Hons,Commerce,GREEN
MAP0300,Commerce & Management,B.Com Hons,Humanities,YELLOW
MAP0301,Commerce & Management,BBA,PCM,GREEN
MAP0302,Commerce & Management,BBA,PCB,GREEN
MAP0303,Commerce & Management,BBA,PCMB,GREEN
MAP0304,Commerce & Management,BBA,Commerce,GREEN
MAP0305,Commerce & Management,BBA,Humanities,GREEN
MAP0306,Commerce & Management,BMS,PCM,GREEN
MAP0307,Commerce & Management,BMS,PCB,GREEN
MAP0308,Commerce & Management,BMS,PCMB,GREEN
MAP0309,Commerce & Management,BMS,Commerce,GREEN
MAP0310,Commerce & Management,BMS,Humanities,GREEN
MAP0311,Commerce & Management,BBM,PCM,GREEN
MAP0312,Commerce & Management,BBM,PCB,GREEN
MAP0313,Commerce & Management,BBM,PCMB,GREEN
MAP0314,Commerce & Management,BBM,Commerce,GREEN
MAP0315,Commerce & Management,BBM,Humanities,GREEN
MAP0316,Commerce & Management,BBA Finance,PCM,GREEN
MAP0317,Commerce & Management,BBA Finance,PCB,GREEN
MAP0318,Commerce & Management,BBA Finance,PCMB,GREEN
MAP0319,Commerce & Management,BBA Finance,Commerce,GREEN
MAP0320,Commerce & Management,BBA Finance,Humanities,GREEN
MAP0321,Commerce & Management,BBA Business Analytics,PCM,GREEN
MAP0322,Commerce & Management,BBA Business Analytics,PCB,YELLOW
MAP0323,Commerce & Management,BBA Business Analytics,PCMB,GREEN
MAP0324,Commerce & Management,BBA Business Analytics,Commerce,GREEN
MAP0325,Commerce & Management,BBA Business Analytics,Humanities,YELLOW
MAP0326,Commerce & Management,B.Sc Finance,PCM,GREEN
MAP0327,Commerce & Management,B.Sc Finance,PCB,YELLOW
MAP0328,Commerce & Management,B.Sc Finance,PCMB,GREEN
MAP0329,Commerce & Management,B.Sc Finance,Commerce,GREEN
MAP0330,Commerce & Management,B.Sc Finance,Humanities,YELLOW
MAP0331,Commerce & Management,B.Sc Economics,PCM,GREEN
MAP0332,Commerce & Management,B.Sc Economics,PCB,YELLOW
MAP0333,Commerce & Management,B.Sc Economics,PCMB,GREEN
MAP0334,Commerce & Management,B.Sc Economics,Commerce,GREEN
MAP0335,Commerce & Management,B.Sc Economics,Humanities,GREEN
MAP0336,Professional Commerce,CA,PCM,GREEN
MAP0337,Professional Commerce,CA,PCB,GREEN
MAP0338,Professional Commerce,CA,Commerce,GREEN
MAP0339,Professional Commerce,CA,Humanities,GREEN
MAP0340,Professional Commerce,CS,PCM,GREEN
MAP0341,Professional Commerce,CS,PCB,GREEN
MAP0342,Professional Commerce,CS,Commerce,GREEN
MAP0343,Professional Commerce,CS,Humanities,GREEN
MAP0344,Professional Commerce,CMA,PCM,GREEN
MAP0345,Professional Commerce,CMA,PCB,GREEN
MAP0346,Professional Commerce,CMA,Commerce,GREEN
MAP0347,Professional Commerce,CMA,Humanities,GREEN
MAP0348,Professional Commerce,CFA pathway,PCM,GREEN
MAP0349,Professional Commerce,CFA pathway,PCB,GREEN
MAP0350,Professional Commerce,CFA pathway,Commerce,GREEN
MAP0351,Professional Commerce,CFA pathway,Humanities,GREEN
MAP0352,Professional Commerce,Actuarial Science,PCM,GREEN
MAP0353,Professional Commerce,Actuarial Science,PCB,YELLOW
MAP0354,Professional Commerce,Actuarial Science,Commerce,GREEN
MAP0355,Professional Commerce,Actuarial Science,Humanities,YELLOW
MAP0356,Professional Commerce,ACCA,PCM,GREEN
MAP0357,Professional Commerce,ACCA,PCB,GREEN
MAP0358,Professional Commerce,ACCA,Commerce,GREEN
MAP0359,Professional Commerce,ACCA,Humanities,GREEN
MAP0360,Law,BA LLB,PCM,GREEN
MAP0361,Law,BA LLB,PCB,GREEN
MAP0362,Law,BA LLB,Commerce,GREEN
MAP0363,Law,BA LLB,Humanities,GREEN
MAP0364,Law,BBA LLB,PCM,GREEN
MAP0365,Law,BBA LLB,PCB,GREEN
MAP0366,Law,BBA LLB,Commerce,GREEN
MAP0367,Law,BBA LLB,Humanities,GREEN
MAP0368,Law,B.Com LLB,PCM,GREEN
MAP0369,Law,B.Com LLB,PCB,GREEN
MAP0370,Law,B.Com LLB,Commerce,GREEN
MAP0371,Law,B.Com LLB,Humanities,GREEN
MAP0372,Law,B.Sc LLB,PCM,GREEN
MAP0373,Law,B.Sc LLB,PCB,GREEN
MAP0374,Law,B.Sc LLB,Commerce,GREEN
MAP0375,Law,B.Sc LLB,Humanities,GREEN
MAP0376,Humanities & Social Sciences,BA English,PCM,GREEN
MAP0377,Humanities & Social Sciences,BA English,PCB,GREEN
MAP0378,Humanities & Social Sciences,BA English,Commerce,GREEN
MAP0379,Humanities & Social Sciences,BA English,Humanities,GREEN
MAP0380,Humanities & Social Sciences,BA History,PCM,GREEN
MAP0381,Humanities & Social Sciences,BA History,PCB,GREEN
MAP0382,Humanities & Social Sciences,BA History,Commerce,GREEN
MAP0383,Humanities & Social Sciences,BA History,Humanities,GREEN
MAP0384,Humanities & Social Sciences,BA Political Science,PCM,GREEN
MAP0385,Humanities & Social Sciences,BA Political Science,PCB,GREEN
MAP0386,Humanities & Social Sciences,BA Political Science,Commerce,GREEN
MAP0387,Humanities & Social Sciences,BA Political Science,Humanities,GREEN
MAP0388,Humanities & Social Sciences,BA Sociology,PCM,GREEN
MAP0389,Humanities & Social Sciences,BA Sociology,PCB,GREEN
MAP0390,Humanities & Social Sciences,BA Sociology,Commerce,GREEN
MAP0391,Humanities & Social Sciences,BA Sociology,Humanities,GREEN
MAP0392,Humanities & Social Sciences,BA Psychology,PCM,GREEN
MAP0393,Humanities & Social Sciences,BA Psychology,PCB,GREEN
MAP0394,Humanities & Social Sciences,BA Psychology,Commerce,GREEN
MAP0395,Humanities & Social Sciences,BA Psychology,Humanities,GREEN
MAP0396,Humanities & Social Sciences,BA Philosophy,PCM,GREEN
MAP0397,Humanities & Social Sciences,BA Philosophy,PCB,GREEN
MAP0398,Humanities & Social Sciences,BA Philosophy,Commerce,GREEN
MAP0399,Humanities & Social Sciences,BA Philosophy,Humanities,GREEN
MAP0400,Humanities & Social Sciences,BA Geography,PCM,GREEN
MAP0401,Humanities & Social Sciences,BA Geography,PCB,GREEN
MAP0402,Humanities & Social Sciences,BA Geography,Commerce,GREEN
MAP0403,Humanities & Social Sciences,BA Geography,Humanities,GREEN
MAP0404,Humanities & Social Sciences,BA Economics,PCM,YELLOW
MAP0405,Humanities & Social Sciences,BA Economics,PCB,YELLOW
